MNXID	bigg	other
MNXR100003	GALOR	RXN-12078
MNXR100003	R_GALOR	RXN-12078
MNXR100010	GALS4	RXN-11501
MNXR100010	R_GALS4	RXN-11501
MNXR100010	STACHGALACT	RXN-11501
MNXR100010	R_STACHGALACT	RXN-11501
MNXR100010	SYGH	RXN-11501
MNXR100010	R_SYGH	RXN-11501
MNXR100014	GALT	UTPHEXPURIDYLYLTRANS-RXN
MNXR100014	R_GALT	UTPHEXPURIDYLYLTRANS-RXN
MNXR100023	GALabc	ABC-18-RXN
MNXR100023	R_GALabc	ABC-18-RXN
MNXR100023	GALabcpp	ABC-18-RXN
MNXR100023	R_GALabcpp	ABC-18-RXN
MNXR100024	GALh	GLUTAMINESYN-RXN
MNXR100024	R_GALh	GLUTAMINESYN-RXN
MNXR100024	GALm	GLUTAMINESYN-RXN
MNXR100024	R_GALm	GLUTAMINESYN-RXN
MNXR100024	GLNS	GLUTAMINESYN-RXN
MNXR100024	R_GLNS	GLUTAMINESYN-RXN
MNXR100026	GALt2	TRANS-RXN-21
MNXR100026	R_GALt2	TRANS-RXN-21
MNXR100026	GALt2pp	TRANS-RXN-21
MNXR100026	R_GALt2pp	TRANS-RXN-21
MNXR100026	GALth	TRANS-RXN-21
MNXR100026	R_GALth	TRANS-RXN-21
MNXR100030	GAM	GLUTAMIN-RXN
MNXR100030	R_GAM	GLUTAMIN-RXN
MNXR100030	GLUN	GLUTAMIN-RXN
MNXR100030	R_GLUN	GLUTAMIN-RXN
MNXR100030	GLUNm	GLUTAMIN-RXN
MNXR100030	R_GLUNm	GLUTAMIN-RXN
MNXR100030	GLUNpp	GLUTAMIN-RXN
MNXR100030	R_GLUNpp	GLUTAMIN-RXN
MNXR100040	GAPD	GAPOXNPHOSPHN-RXN
MNXR100040	R_GAPD	GAPOXNPHOSPHN-RXN
MNXR100040	GAPDHf	GAPOXNPHOSPHN-RXN
MNXR100040	R_GAPDHf	GAPOXNPHOSPHN-RXN
MNXR100040	GAPDHh	GAPOXNPHOSPHN-RXN
MNXR100040	R_GAPDHh	GAPOXNPHOSPHN-RXN
MNXR100040	GAPDHi	GAPOXNPHOSPHN-RXN
MNXR100040	R_GAPDHi	GAPOXNPHOSPHN-RXN
MNXR100040	GAPDHm	GAPOXNPHOSPHN-RXN
MNXR100040	R_GAPDHm	GAPOXNPHOSPHN-RXN
MNXR100041	GAPDH_nadp_hi	1.2.1.13-RXN
MNXR100041	R_GAPDH_nadp_hi	1.2.1.13-RXN
MNXR100041	GAPD_nadp	1.2.1.13-RXN
MNXR100041	R_GAPD_nadp	1.2.1.13-RXN
MNXR100041	GAPDi_nadp	1.2.1.13-RXN
MNXR100041	R_GAPDi_nadp	1.2.1.13-RXN
MNXR100042	GART	GARTRANSFORMYL2-RXN
MNXR100042	R_GART	GARTRANSFORMYL2-RXN
MNXR100060	GCALDD	GLYCOLALD-DEHYDROG-RXN
MNXR100060	R_GCALDD	GLYCOLALD-DEHYDROG-RXN
MNXR100060	GCALDDm	GLYCOLALD-DEHYDROG-RXN
MNXR100060	R_GCALDDm	GLYCOLALD-DEHYDROG-RXN
MNXR100063	GCATENEC	RXN1F-151
MNXR100063	R_GCATENEC	RXN1F-151
MNXR100063	LCYB	RXN1F-151
MNXR100063	R_LCYB	RXN1F-151
MNXR100066	GCC2cm	RXN-18331
MNXR100066	R_GCC2cm	RXN-18331
MNXR100066	PDHcr	RXN-18331
MNXR100066	R_PDHcr	RXN-18331
MNXR100066	PDHe3hr	RXN-18331
MNXR100066	R_PDHe3hr	RXN-18331
MNXR100074	GCL	GLUTCYSLIG-RXN
MNXR100074	R_GCL	GLUTCYSLIG-RXN
MNXR100074	GLUCYS	GLUTCYSLIG-RXN
MNXR100074	R_GLUCYS	GLUTCYSLIG-RXN
MNXR100078	GCPN	35-CYCLIC-GMP-PHOSPHODIESTERASE-RXN
MNXR100078	R_GCPN	35-CYCLIC-GMP-PHOSPHODIESTERASE-RXN
MNXR100078	GCPNn	35-CYCLIC-GMP-PHOSPHODIESTERASE-RXN
MNXR100078	R_GCPNn	35-CYCLIC-GMP-PHOSPHODIESTERASE-RXN
MNXR100078	PDE4	35-CYCLIC-GMP-PHOSPHODIESTERASE-RXN
MNXR100078	R_PDE4	35-CYCLIC-GMP-PHOSPHODIESTERASE-RXN
MNXR100078	PDE4g	35-CYCLIC-GMP-PHOSPHODIESTERASE-RXN
MNXR100078	R_PDE4g	35-CYCLIC-GMP-PHOSPHODIESTERASE-RXN
MNXR100083	GDBTALDH	1.2.1.54-RXN
MNXR100083	R_GDBTALDH	1.2.1.54-RXN
MNXR100085	GDH	GLUTAMATE-DEHYDROGENASE-RXN
MNXR100085	R_GDH	GLUTAMATE-DEHYDROGENASE-RXN
MNXR100085	GDH1	GLUTAMATE-DEHYDROGENASE-RXN
MNXR100085	R_GDH1	GLUTAMATE-DEHYDROGENASE-RXN
MNXR100085	GDHm	GLUTAMATE-DEHYDROGENASE-RXN
MNXR100085	R_GDHm	GLUTAMATE-DEHYDROGENASE-RXN
MNXR100085	GLUDxi	GLUTAMATE-DEHYDROGENASE-RXN
MNXR100085	R_GLUDxi	GLUTAMATE-DEHYDROGENASE-RXN
MNXR100086	GDH_nadp	GLUTDEHYD-RXN
MNXR100086	R_GDH_nadp	GLUTDEHYD-RXN
MNXR100086	GLUDy	GLUTDEHYD-RXN
MNXR100086	R_GLUDy	GLUTDEHYD-RXN
MNXR100086	GLUDyi	GLUTDEHYD-RXN
MNXR100086	R_GLUDyi	GLUTDEHYD-RXN
MNXR100086	GLUDym	GLUTDEHYD-RXN
MNXR100086	R_GLUDym	GLUTDEHYD-RXN
MNXR100088	GDPDPK	GDPPYPHOSKIN-RXN
MNXR100088	R_GDPDPK	GDPPYPHOSKIN-RXN
MNXR100092	GDPMNP	RXN0-5108
MNXR100092	R_GDPMNP	RXN0-5108
MNXR100094	GDPTPDP	RXN0-6427
MNXR100094	R_GDPTPDP	RXN0-6427
MNXR100098	GDR_nadp_h	GLUTATHIONE-REDUCT-NADPH-RXN
MNXR100098	R_GDR_nadp_h	GLUTATHIONE-REDUCT-NADPH-RXN
MNXR100098	GTHOm	GLUTATHIONE-REDUCT-NADPH-RXN
MNXR100098	R_GTHOm	GLUTATHIONE-REDUCT-NADPH-RXN
MNXR100098	GTHOr	GLUTATHIONE-REDUCT-NADPH-RXN
MNXR100098	R_GTHOr	GLUTATHIONE-REDUCT-NADPH-RXN
MNXR100099	GDTP	PPPGPPHYDRO-RXN
MNXR100099	R_GDTP	PPPGPPHYDRO-RXN
MNXR100099	GTPDPDP	PPPGPPHYDRO-RXN
MNXR100099	R_GTPDPDP	PPPGPPHYDRO-RXN
MNXR100100	GF4GL_0	RXN-8080
MNXR100100	R_GF4GL_0	RXN-8080
MNXR100101	GF4GL_1	RXN-8081
MNXR100101	R_GF4GL_1	RXN-8081
MNXR100107	GF6PTA	L-GLN-FRUCT-6-P-AMINOTRANS-RXN
MNXR100107	R_GF6PTA	L-GLN-FRUCT-6-P-AMINOTRANS-RXN
MNXR100107	GF6PTA_1	L-GLN-FRUCT-6-P-AMINOTRANS-RXN
MNXR100107	R_GF6PTA_1	L-GLN-FRUCT-6-P-AMINOTRANS-RXN
MNXR100108	GFUCS	1.1.1.271-RXN
MNXR100108	R_GFUCS	1.1.1.271-RXN
MNXR100109	GGCHLDAR	RXN-17428
MNXR100109	R_GGCHLDAR	RXN-17428
MNXR100111	GGDPR	RXN-10625
MNXR100111	R_GGDPR	RXN-10625
MNXR100111	GGDR	RXN-10625
MNXR100111	R_GGDR	RXN-10625
MNXR100114	GGGABAH	RXN0-3942
MNXR100114	R_GGGABAH	RXN0-3942
MNXR100136	GGTAe2	RXN-12618
MNXR100136	GGTAe2	RXN-15856
MNXR100136	R_GGTAe2	RXN-12618
MNXR100136	R_GGTAe2	RXN-15856
MNXR100136	GTHRDH_syn	RXN-12618
MNXR100136	GTHRDH_syn	RXN-15856
MNXR100136	R_GTHRDH_syn	RXN-12618
MNXR100136	R_GTHRDH_syn	RXN-15856
MNXR100136	GTHRDHpp	RXN-12618
MNXR100136	GTHRDHpp	RXN-15856
MNXR100136	R_GTHRDHpp	RXN-12618
MNXR100136	R_GTHRDHpp	RXN-15856
MNXR100137	GGTT	RXN-8813
MNXR100137	R_GGTT	RXN-8813
MNXR100140	GHBDHx	4-HYDROXYBUTYRATE-DEHYDROGENASE-RXN
MNXR100140	R_GHBDHx	4-HYDROXYBUTYRATE-DEHYDROGENASE-RXN
MNXR100141	GHBDHy	RXN-11002
MNXR100141	R_GHBDHy	RXN-11002
MNXR100144	GK1	GUANYL-KIN-RXN
MNXR100144	R_GK1	GUANYL-KIN-RXN
MNXR100144	GK1m	GUANYL-KIN-RXN
MNXR100144	R_GK1m	GUANYL-KIN-RXN
MNXR100146	GK_adp	RXN-17001
MNXR100146	R_GK_adp	RXN-17001
MNXR100188	EX_glc__D_e	TRANS-RXN0-574
MNXR100188	R_EX_glc__D_e	TRANS-RXN0-574
MNXR100188	GLCMter	TRANS-RXN0-574
MNXR100188	R_GLCMter	TRANS-RXN0-574
MNXR100188	GLCt1	TRANS-RXN0-574
MNXR100188	R_GLCt1	TRANS-RXN0-574
MNXR100188	GLCter	TRANS-RXN0-574
MNXR100188	R_GLCter	TRANS-RXN0-574
MNXR100188	GLCtex	TRANS-RXN0-574
MNXR100188	R_GLCtex	TRANS-RXN0-574
MNXR100188	GLCtg	TRANS-RXN0-574
MNXR100188	R_GLCtg	TRANS-RXN0-574
MNXR100188	GLCtly	TRANS-RXN0-574
MNXR100188	R_GLCtly	TRANS-RXN0-574
MNXR100188	GLCtv	TRANS-RXN0-574
MNXR100188	R_GLCtv	TRANS-RXN0-574
MNXR100209	GLCNt2ir	TRANS-RXN0-209
MNXR100209	R_GLCNt2ir	TRANS-RXN0-209
MNXR100209	GLCNt2r	TRANS-RXN0-209
MNXR100209	R_GLCNt2r	TRANS-RXN0-209
MNXR100209	GLCNt2rpp	TRANS-RXN0-209
MNXR100209	R_GLCNt2rpp	TRANS-RXN0-209
MNXR100212	GLCOAS	GLUTARATE--COA-LIGASE-RXN
MNXR100212	R_GLCOAS	GLUTARATE--COA-LIGASE-RXN
MNXR100219	GLCRAL	KDGALDOL-RXN
MNXR100219	R_GLCRAL	KDGALDOL-RXN
MNXR100219	GLCRAL_1	KDGALDOL-RXN
MNXR100219	R_GLCRAL_1	KDGALDOL-RXN
MNXR100220	GLCRD	GLUCARDEHYDRA-RXN
MNXR100220	R_GLCRD	GLUCARDEHYDRA-RXN
MNXR100220	GLCRD_1	GLUCARDEHYDRA-RXN
MNXR100220	R_GLCRD_1	GLUCARDEHYDRA-RXN
MNXR100222	EX_glcr_e	TRANS-RXN0-204
MNXR100222	R_EX_glcr_e	TRANS-RXN0-204
MNXR100222	GLCRtex	TRANS-RXN0-204
MNXR100222	R_GLCRtex	TRANS-RXN0-204
MNXR100236	GLCabc	TRANS-RXN-320
MNXR100236	R_GLCabc	TRANS-RXN-320
MNXR100236	GLCabcpp	TRANS-RXN-320
MNXR100236	R_GLCabcpp	TRANS-RXN-320
MNXR100238	GLCt2	RXN0-7077
MNXR100238	R_GLCt2	RXN0-7077
MNXR100238	GLCt2pp	RXN0-7077
MNXR100238	R_GLCt2pp	RXN0-7077
MNXR100243	GLGC	GLUC1PADENYLTRANS-RXN
MNXR100243	R_GLGC	GLUC1PADENYLTRANS-RXN
MNXR100243	GLPThi	GLUC1PADENYLTRANS-RXN
MNXR100243	R_GLPThi	GLUC1PADENYLTRANS-RXN
MNXR100245	GLMS_syn	GLUTAMATE-SYNTHASE-FERREDOXIN-RXN
MNXR100245	R_GLMS_syn	GLUTAMATE-SYNTHASE-FERREDOXIN-RXN
MNXR100245	GLUS_ferr	GLUTAMATE-SYNTHASE-FERREDOXIN-RXN
MNXR100245	R_GLUS_ferr	GLUTAMATE-SYNTHASE-FERREDOXIN-RXN
MNXR100250	GLNLASEer	RXN-8783
MNXR100250	R_GLNLASEer	RXN-8783
MNXR100258	GLNabc	ABC-12-RXN
MNXR100258	R_GLNabc	ABC-12-RXN
MNXR100258	GLNabcpp	ABC-12-RXN
MNXR100258	R_GLNabcpp	ABC-12-RXN
MNXR100259	EX_gln__L_e	TRANS-RXN-233
MNXR100259	R_EX_gln__L_e	TRANS-RXN-233
MNXR100259	GLNt	TRANS-RXN-233
MNXR100259	R_GLNt	TRANS-RXN-233
MNXR100259	GLNtex	TRANS-RXN-233
MNXR100259	R_GLNtex	TRANS-RXN-233
MNXR100259	GLNtm	TRANS-RXN-233
MNXR100259	R_GLNtm	TRANS-RXN-233
MNXR100276	GLU4ABUTthi	TRANS-RXN-261
MNXR100276	R_GLU4ABUTthi	TRANS-RXN-261
MNXR100276	GLU4ABUTtmi	TRANS-RXN-261
MNXR100276	R_GLU4ABUTtmi	TRANS-RXN-261
MNXR100276	GLUABUTt7	TRANS-RXN-261
MNXR100276	R_GLUABUTt7	TRANS-RXN-261
MNXR100276	GLUABUTt7pp	TRANS-RXN-261
MNXR100276	R_GLUABUTt7pp	TRANS-RXN-261
MNXR100277	GLU5K	GLUTKIN-RXN
MNXR100277	R_GLU5K	GLUTKIN-RXN
MNXR100277	GLU5Km	GLUTKIN-RXN
MNXR100277	R_GLU5Km	GLUTKIN-RXN
MNXR100287	GLUPRT	PRPPAMIDOTRANS-RXN
MNXR100287	R_GLUPRT	PRPPAMIDOTRANS-RXN
MNXR100287	PRDPARh	PRPPAMIDOTRANS-RXN
MNXR100287	R_PRDPARh	PRPPAMIDOTRANS-RXN
MNXR100288	GLUR	GLUTRACE-RXN
MNXR100288	R_GLUR	GLUTRACE-RXN
MNXR100289	GLUS	GLUTAMATE-SYNTHASE-NADH-RXN
MNXR100289	R_GLUS	GLUTAMATE-SYNTHASE-NADH-RXN
MNXR100289	GLUSx	GLUTAMATE-SYNTHASE-NADH-RXN
MNXR100289	R_GLUSx	GLUTAMATE-SYNTHASE-NADH-RXN
MNXR100291	GLUS_nadph	GLUTAMATESYN-RXN
MNXR100291	R_GLUS_nadph	GLUTAMATESYN-RXN
MNXR100291	GLUSy	GLUTAMATESYN-RXN
MNXR100291	R_GLUSy	GLUTAMATESYN-RXN
MNXR100296	GLUTRS_Gln	RXN-9386
MNXR100296	R_GLUTRS_Gln	RXN-9386
MNXR100299	GLUabc	ABC-13-RXN
MNXR100299	R_GLUabc	ABC-13-RXN
MNXR100299	GLUabcpp	ABC-13-RXN
MNXR100299	R_GLUabcpp	ABC-13-RXN
MNXR100301	EX_glu__L_e	TRANS-RXN-232
MNXR100301	EX_glu__L_e	TRANS-RXN-234
MNXR100301	R_EX_glu__L_e	TRANS-RXN-232
MNXR100301	R_EX_glu__L_e	TRANS-RXN-234
MNXR100301	GLUt5m	TRANS-RXN-232
MNXR100301	GLUt5m	TRANS-RXN-234
MNXR100301	R_GLUt5m	TRANS-RXN-232
MNXR100301	R_GLUt5m	TRANS-RXN-234
MNXR100301	GLUt7l	TRANS-RXN-232
MNXR100301	GLUt7l	TRANS-RXN-234
MNXR100301	R_GLUt7l	TRANS-RXN-232
MNXR100301	R_GLUt7l	TRANS-RXN-234
MNXR100301	GLUt7m	TRANS-RXN-232
MNXR100301	GLUt7m	TRANS-RXN-234
MNXR100301	R_GLUt7m	TRANS-RXN-232
MNXR100301	R_GLUt7m	TRANS-RXN-234
MNXR100301	GLUtex	TRANS-RXN-232
MNXR100301	GLUtex	TRANS-RXN-234
MNXR100301	R_GLUtex	TRANS-RXN-232
MNXR100301	R_GLUtex	TRANS-RXN-234
MNXR100301	GLUtr	TRANS-RXN-232
MNXR100301	GLUtr	TRANS-RXN-234
MNXR100301	R_GLUtr	TRANS-RXN-232
MNXR100301	R_GLUtr	TRANS-RXN-234
MNXR100303	GLXCBL	GLYOCARBOLIG-RXN
MNXR100303	R_GLXCBL	GLYOCARBOLIG-RXN
MNXR100303	GLXCL	GLYOCARBOLIG-RXN
MNXR100303	R_GLXCL	GLYOCARBOLIG-RXN
MNXR100305	GLXO2p	GLYOXYLATE-OXIDASE-RXN
MNXR100305	R_GLXO2p	GLYOXYLATE-OXIDASE-RXN
MNXR100305	GLXO3r	GLYOXYLATE-OXIDASE-RXN
MNXR100305	R_GLXO3r	GLYOXYLATE-OXIDASE-RXN
MNXR100306	EX_glx_e	RXN0-1982
MNXR100306	R_EX_glx_e	RXN0-1982
MNXR100306	GLXt	RXN0-1982
MNXR100306	R_GLXt	RXN0-1982
MNXR100306	GLXtm	RXN0-1982
MNXR100306	R_GLXtm	RXN0-1982
MNXR100306	GLXtp	RXN0-1982
MNXR100306	R_GLXtp	RXN0-1982
MNXR100313	GLYAT	AKBLIG-RXN
MNXR100313	R_GLYAT	AKBLIG-RXN
MNXR100313	GLYATi	AKBLIG-RXN
MNXR100313	R_GLYATi	AKBLIG-RXN
MNXR100313	GLYATm	AKBLIG-RXN
MNXR100313	R_GLYATm	AKBLIG-RXN
MNXR100313	GLYATx	AKBLIG-RXN
MNXR100313	R_GLYATx	AKBLIG-RXN
MNXR100314	GLYBabc	TRANS-RXN-283
MNXR100314	R_GLYBabc	TRANS-RXN-283
MNXR100314	GLYBabcpp	TRANS-RXN-283
MNXR100314	R_GLYBabcpp	TRANS-RXN-283
MNXR100315	GLYBt2pp	TRANS-RXN-29A
MNXR100315	R_GLYBt2pp	TRANS-RXN-29A
MNXR100315	GLYBt2r	TRANS-RXN-29A
MNXR100315	R_GLYBt2r	TRANS-RXN-29A
MNXR100317	EX_glyb_e	TRANS-RXN0-490
MNXR100317	R_EX_glyb_e	TRANS-RXN0-490
MNXR100317	GLYBtex	TRANS-RXN0-490
MNXR100317	R_GLYBtex	TRANS-RXN0-490
MNXR100317	GLYBtm	TRANS-RXN0-490
MNXR100317	R_GLYBtm	TRANS-RXN0-490
MNXR100320	GLYC3Pabc	3.6.3.20-RXN
MNXR100320	GLYC3Pabc	ABC-34-RXN
MNXR100320	R_GLYC3Pabc	3.6.3.20-RXN
MNXR100320	R_GLYC3Pabc	ABC-34-RXN
MNXR100320	GLYC3Pabcpp	3.6.3.20-RXN
MNXR100320	GLYC3Pabcpp	ABC-34-RXN
MNXR100320	R_GLYC3Pabcpp	3.6.3.20-RXN
MNXR100320	R_GLYC3Pabcpp	ABC-34-RXN
MNXR100321	GLYC3Pt6	TRANS-RXN-22
MNXR100321	R_GLYC3Pt6	TRANS-RXN-22
MNXR100321	GLYC3Pt6pp	TRANS-RXN-22
MNXR100321	R_GLYC3Pt6pp	TRANS-RXN-22
MNXR100321	r2472	TRANS-RXN-22
MNXR100321	R_r2472	TRANS-RXN-22
MNXR100323	EX_glyc__R_e	TRANS-RXN0-523
MNXR100323	R_EX_glyc__R_e	TRANS-RXN0-523
MNXR100323	GLYCAtex	TRANS-RXN0-523
MNXR100323	R_GLYCAtex	TRANS-RXN0-523
MNXR100324	GLYCDH	GLYCEROL-DEHYDRATASE-RXN
MNXR100324	R_GLYCDH	GLYCEROL-DEHYDRATASE-RXN
MNXR100325	GLYCDH_1	GLYCERATE-DEHYDROGENASE-RXN
MNXR100325	R_GLYCDH_1	GLYCERATE-DEHYDROGENASE-RXN
MNXR100325	HPYRRx	GLYCERATE-DEHYDROGENASE-RXN
MNXR100325	R_HPYRRx	GLYCERATE-DEHYDROGENASE-RXN
MNXR100326	GLYCDx	GLYCDEH-RXN
MNXR100326	R_GLYCDx	GLYCDEH-RXN
MNXR100327	GLYCDy	GLYCEROL-2-DEHYDROGENASE-NADP+-RXN
MNXR100327	R_GLYCDy	GLYCEROL-2-DEHYDROGENASE-NADP+-RXN
MNXR100328	GLYCK	GLY3KIN-RXN
MNXR100328	R_GLYCK	GLY3KIN-RXN
MNXR100328	GLYPT	GLY3KIN-RXN
MNXR100328	R_GLYPT	GLY3KIN-RXN
MNXR100328	r0340	GLY3KIN-RXN
MNXR100328	R_r0340	GLY3KIN-RXN
MNXR100329	GLYCK2	GKI-RXN
MNXR100329	R_GLYCK2	GKI-RXN
MNXR100331	GLYCLTDx	GLYCOLATE-REDUCTASE-RXN
MNXR100331	R_GLYCLTDx	GLYCOLATE-REDUCTASE-RXN
MNXR100331	GLYCTO_syn	GLYCOLATE-REDUCTASE-RXN
MNXR100331	R_GLYCTO_syn	GLYCOLATE-REDUCTASE-RXN
MNXR100332	GLYCLTDy	GLYOXYLATE-REDUCTASE-NADP+-RXN
MNXR100332	R_GLYCLTDy	GLYOXYLATE-REDUCTASE-NADP+-RXN
MNXR100332	GLYCLTDym	GLYOXYLATE-REDUCTASE-NADP+-RXN
MNXR100332	R_GLYCLTDym	GLYOXYLATE-REDUCTASE-NADP+-RXN
MNXR100333	EX_glyclt_e	RXN0-5111
MNXR100333	R_EX_glyclt_e	RXN0-5111
MNXR100333	GLYCLTt	RXN0-5111
MNXR100333	R_GLYCLTt	RXN0-5111
MNXR100333	GLYCLTtex	RXN0-5111
MNXR100333	R_GLYCLTtex	RXN0-5111
MNXR100333	GLYCLTth	RXN0-5111
MNXR100333	R_GLYCLTth	RXN0-5111
MNXR100333	GLYCLTtm	RXN0-5111
MNXR100333	R_GLYCLTtm	RXN0-5111
MNXR100333	GLYCLTtp	RXN0-5111
MNXR100333	R_GLYCLTtp	RXN0-5111
MNXR100333	SK_glyclt_c	RXN0-5111
MNXR100333	R_SK_glyclt_c	RXN0-5111
MNXR100334	GLYCLTt2r	TRANS-RXN-105
MNXR100334	R_GLYCLTt2r	TRANS-RXN-105
MNXR100334	GLYCLTt2rpp	TRANS-RXN-105
MNXR100334	R_GLYCLTt2rpp	TRANS-RXN-105
MNXR100336	GLYCOR_nadp	RXN0-300
MNXR100336	R_GLYCOR_nadp	RXN0-300
MNXR100336	HPYRRy	RXN0-300
MNXR100336	R_HPYRRy	RXN0-300
MNXR100338	GLYCTO1	RXN-969
MNXR100338	R_GLYCTO1	RXN-969
MNXR100338	GLYCTO1p	RXN-969
MNXR100338	R_GLYCTO1p	RXN-969
MNXR100343	EX_glyc_e	TRANS-RXN-131
MNXR100343	R_EX_glyc_e	TRANS-RXN-131
MNXR100343	GLYCt	TRANS-RXN-131
MNXR100343	R_GLYCt	TRANS-RXN-131
MNXR100343	GLYCt1	TRANS-RXN-131
MNXR100343	R_GLYCt1	TRANS-RXN-131
MNXR100343	GLYCtex	TRANS-RXN-131
MNXR100343	R_GLYCtex	TRANS-RXN-131
MNXR100343	GLYCtm	TRANS-RXN-131
MNXR100343	R_GLYCtm	TRANS-RXN-131
MNXR100343	GLYCtpp	TRANS-RXN-131
MNXR100343	R_GLYCtpp	TRANS-RXN-131
MNXR100348	GLYK	GLYCEROL-KIN-RXN
MNXR100348	R_GLYK	GLYCEROL-KIN-RXN
MNXR100348	GLYKm	GLYCEROL-KIN-RXN
MNXR100348	R_GLYKm	GLYCEROL-KIN-RXN
MNXR100352	GLYO1	1.4.3.19-RXN
MNXR100352	R_GLYO1	1.4.3.19-RXN
MNXR100352	GLYOp	1.4.3.19-RXN
MNXR100352	R_GLYOp	1.4.3.19-RXN
MNXR100353	GLYOX	GLYOXII-RXN
MNXR100353	R_GLYOX	GLYOXII-RXN
MNXR100353	GLYOXm	GLYOXII-RXN
MNXR100353	R_GLYOXm	GLYOXII-RXN
MNXR100354	GLYOX3	GLYOXIII-RXN
MNXR100354	R_GLYOX3	GLYOXIII-RXN
MNXR100355	GLYOX_1	GLYOXI-RXN
MNXR100355	R_GLYOX_1	GLYOXI-RXN
MNXR100355	LGTHL	GLYOXI-RXN
MNXR100355	R_LGTHL	GLYOXI-RXN
MNXR100360	GLYPROPRO1c	RXN0-6988
MNXR100360	R_GLYPROPRO1c	RXN0-6988
MNXR100364	GLYTA	GLYCINE-AMINOTRANSFERASE-RXN
MNXR100364	R_GLYTA	GLYCINE-AMINOTRANSFERASE-RXN
MNXR100364	GLYTA_1	GLYCINE-AMINOTRANSFERASE-RXN
MNXR100364	R_GLYTA_1	GLYCINE-AMINOTRANSFERASE-RXN
MNXR100368	GLYt2m	TRANS-RXN-62B
MNXR100368	R_GLYt2m	TRANS-RXN-62B
MNXR100368	GLYt2pp	TRANS-RXN-62B
MNXR100368	R_GLYt2pp	TRANS-RXN-62B
MNXR100368	GLYt2r	TRANS-RXN-62B
MNXR100368	R_GLYt2r	TRANS-RXN-62B
MNXR100368	GLYt2rL	TRANS-RXN-62B
MNXR100368	R_GLYt2rL	TRANS-RXN-62B
MNXR100368	GLYth	TRANS-RXN-62B
MNXR100368	R_GLYth	TRANS-RXN-62B
MNXR100368	GLYtx	TRANS-RXN-62B
MNXR100368	R_GLYtx	TRANS-RXN-62B
MNXR100371	EX_gly_e	TRANS-RXN0-537
MNXR100371	R_EX_gly_e	TRANS-RXN0-537
MNXR100371	GLYtex	TRANS-RXN0-537
MNXR100371	R_GLYtex	TRANS-RXN0-537
MNXR100371	GLYtm	TRANS-RXN0-537
MNXR100371	R_GLYtm	TRANS-RXN0-537
MNXR100371	GLYtp	TRANS-RXN0-537
MNXR100371	R_GLYtp	TRANS-RXN0-537
MNXR100377	GMAND	GDPMANDEHYDRA-RXN
MNXR100377	R_GMAND	GDPMANDEHYDRA-RXN
MNXR100378	GMHEPAT	RXN0-4342
MNXR100378	R_GMHEPAT	RXN0-4342
MNXR100381	GMP5N	RXN-7609
MNXR100381	R_GMP5N	RXN-7609
MNXR100381	NTD9	RXN-7609
MNXR100381	R_NTD9	RXN-7609
MNXR100381	NTD9e	RXN-7609
MNXR100381	R_NTD9e	RXN-7609
MNXR100381	NTD9l	RXN-7609
MNXR100381	R_NTD9l	RXN-7609
MNXR100381	NTD9pp	RXN-7609
MNXR100381	R_NTD9pp	RXN-7609
MNXR100382	GMPR	GMP-REDUCT-RXN
MNXR100382	R_GMPR	GMP-REDUCT-RXN
MNXR100383	GMPS	GMP-SYN-NH3-RXN
MNXR100383	R_GMPS	GMP-SYN-NH3-RXN
MNXR100383	GMPSm	GMP-SYN-NH3-RXN
MNXR100383	R_GMPSm	GMP-SYN-NH3-RXN
MNXR100384	GMPS2	GMP-SYN-GLUT-RXN
MNXR100384	R_GMPS2	GMP-SYN-GLUT-RXN
MNXR100384	GMPS_glu_m	GMP-SYN-GLUT-RXN
MNXR100384	R_GMPS_glu_m	GMP-SYN-GLUT-RXN
MNXR100386	EX_gmp_e	TRANS-RXN0-565
MNXR100386	R_EX_gmp_e	TRANS-RXN0-565
MNXR100386	GMPtex	TRANS-RXN0-565
MNXR100386	R_GMPtex	TRANS-RXN0-565
MNXR100386	GMPtg	TRANS-RXN0-565
MNXR100386	R_GMPtg	TRANS-RXN0-565
MNXR100386	GMPtm	TRANS-RXN0-565
MNXR100386	R_GMPtm	TRANS-RXN0-565
MNXR100386	GMPtn	TRANS-RXN0-565
MNXR100386	R_GMPtn	TRANS-RXN0-565
MNXR100386	GMPtn_1	TRANS-RXN0-565
MNXR100386	R_GMPtn_1	TRANS-RXN0-565
MNXR100389	GND	RXN-9952
MNXR100389	R_GND	RXN-9952
MNXR100389	GNDer	RXN-9952
MNXR100389	R_GNDer	RXN-9952
MNXR100389	PGDHh	RXN-9952
MNXR100389	R_PGDHh	RXN-9952
MNXR100390	GNK	GLUCONOKIN-RXN
MNXR100390	R_GNK	GLUCONOKIN-RXN
MNXR100390	GNKh	GLUCONOKIN-RXN
MNXR100390	R_GNKh	GLUCONOKIN-RXN
MNXR100390	GNKr	GLUCONOKIN-RXN
MNXR100390	R_GNKr	GLUCONOKIN-RXN
MNXR100391	GNMT	GLYCINE-N-METHYLTRANSFERASE-RXN
MNXR100391	R_GNMT	GLYCINE-N-METHYLTRANSFERASE-RXN
MNXR100392	GNNUC	RXN0-366
MNXR100392	R_GNNUC	RXN0-366
MNXR100409	GPAR	GUANPRIBOSYLTRAN-RXN
