id	abbreviation	name	code	stoichiometry	is_transport	equation	definition	reversibility	direction	abstract_reaction	pathways	aliases	ec_numbers	deltag	deltagerr	compound_ids	status	is_obsolete	linked_reaction	notes	is_copy_of	gapseq.status
rxn00001	R00004	diphosphate phosphohydrolase	(1) cpd00001[0] + (1) cpd00012[0] <=> (2) cpd00009[0]	-1:cpd00001:0:0:"H2O";-1:cpd00012:0:0:"PPi";2:cpd00009:0:0:"Phosphate";1:cpd00067:0:0:"H+"	0	(1) cpd00001[0] + (1) cpd00012[0] => (2) cpd00009[0] + (1) cpd00067[0]	(1) H2O[0] + (1) PPi[0] => (2) Phosphate[0] + (1) H+[0]	>	=					4.14	1.22	cpd00001;cpd00009;cpd00012;cpd00067	OK	0	rxn27946;rxn27947;rxn27948;rxn32487;rxn38157;rxn38158	HB		corrected
rxn00002	R00005	urea-1-carboxylate amidohydrolase	(1) cpd00001[0] + (1) cpd00742[0] <=> (2) cpd00011[0] + (2) cpd00013[0]	-1:cpd00001:0:0:"H2O";-3:cpd00067:0:0:"H+";-1:cpd00742:0:0:"Allophanate";2:cpd00011:0:0:"CO2";2:cpd00013:0:0:"NH3"	0	(1) cpd00001[0] + (3) cpd00067[0] + (1) cpd00742[0] => (2) cpd00011[0] + (2) cpd00013[0]	(1) H2O[0] + (3) H+[0] + (1) Allophanate[0] => (2) CO2[0] + (2) NH3[0]	>	>					-9.62	1.78	cpd00001;cpd00011;cpd00013;cpd00067;cpd00742	OK	0				approved
rxn00003	R00006	pyruvate:pyruvate acetaldehydetransferase (decarboxylating)	(1) cpd00011[0] + (1) cpd00668[0] <=> (2) cpd00020[0]	-1:cpd00011:0:0:"CO2";-1:cpd00668:0:0:"ALCTT";2:cpd00020:0:0:"Pyruvate";1:cpd00067:0:0:"H+"	0	(1) cpd00011[0] + (1) cpd00668[0] <= (2) cpd00020[0] + (1) cpd00067[0]	(1) CO2[0] + (1) ALCTT[0] <= (2) Pyruvate[0] + (1) H+[0]	<	<					10.53	0.73	cpd00011;cpd00020;cpd00067;cpd00668	OK	0	rxn30144;rxn33164			approved
rxn00004	R00008	4-hydroxy-4-methyl-2-oxoglutarate pyruvate-lyase (pyruvate-forming)	(1) cpd02570[0] <=> (2) cpd00020[0]	-1:cpd02570:0:0:"Parapyruvate";2:cpd00020:0:0:"Pyruvate"	0	(1) cpd02570[0] <=> (2) cpd00020[0]	(1) Parapyruvate[0] <=> (2) Pyruvate[0]	=	=					3.17	0.44	cpd00020;cpd02570	OK	0				approved
rxn00006	R00009	hydrogen-peroxide:hydrogen-peroxide oxidoreductase	(2) cpd00025[0] <=> (2) cpd00001[0] + (1) cpd00007[0]	-2:cpd00025:0:0:"H2O2";2:cpd00001:0:0:"H2O";1:cpd00007:0:0:"O2"	0	(2) cpd00025[0] => (2) cpd00001[0] + (1) cpd00007[0]	(2) H2O2[0] => (2) H2O[0] + (1) O2[0]	>	>					-45.35	1.5	cpd00001;cpd00007;cpd00025	OK	0	rxn19264;rxn22404;rxn27744;rxn31381			approved
rxn00007	R00010	alpha,alpha-trehalose glucohydrolase	(1) cpd00001[0] + (1) cpd00794[0] <=> (2) cpd00027[0]	-1:cpd00001:0:0:"H2O";-1:cpd00794:0:0:"TRHL";2:cpd00027:0:0:"D-Glucose"	0	(1) cpd00001[0] + (1) cpd00794[0] => (2) cpd00027[0]	(1) H2O[0] + (1) TRHL[0] => (2) D-Glucose[0]	>	>					-3.11	0.69	cpd00001;cpd00027;cpd00794	OK	0	rxn29977;rxn30219;rxn30442			approved
rxn00008	R00011	Mn(II):hydrogen-peroxide oxidoreductase	(2) cpd00001[0] <=> (1) cpd00025[0]	-2:cpd00001:0:0:"H2O";1:cpd00025:0:0:"H2O2";2:cpd00067:0:0:"H+"	0	(2) cpd00001[0] <=> (1) cpd00025[0] + (2) cpd00067[0]	(2) H2O[0] <=> (1) H2O2[0] + (2) H+[0]	=	=					1e+07	1e+07	cpd00001;cpd00025;cpd00067	CI:2	0				removed
rxn00009	R00012	GTP:GTP guanylyltransferase	(2) cpd00038[0] <=> (1) cpd00012[0] + (1) cpd00925[0]	-2:cpd00038:0:0:"GTP";1:cpd00012:0:0:"PPi";1:cpd00067:0:0:"H+";1:cpd00925:0:0:"GppppG"	0	(2) cpd00038[0] => (1) cpd00012[0] + (1) cpd00067[0] + (1) cpd00925[0]	(2) GTP[0] => (1) PPi[0] + (1) H+[0] + (1) GppppG[0]	>	>					-8.46	0.75	cpd00012;cpd00038;cpd00067;cpd00925	OK	0	rxn33150;rxn33152	HB		approved
rxn00010	R00013	glyoxylate carboxy-lyase (dimerizing; tartronate-semialdehyde-forming)	(2) cpd00040[0] <=> (1) cpd00011[0] + (1) cpd00843[0]	-2:cpd00040:0:0:"Glyoxalate";-1:cpd00067:0:0:"H+";1:cpd00011:0:0:"CO2";1:cpd00843:0:0:"Tartronate semialdehyde"	0	(2) cpd00040[0] + (1) cpd00067[0] => (1) cpd00011[0] + (1) cpd00843[0]	(2) Glyoxalate[0] + (1) H+[0] => (1) CO2[0] + (1) Tartronate semialdehyde[0]	>	>					-10.57	0.68	cpd00011;cpd00040;cpd00067;cpd00843	OK	0				approved
rxn00011	R00014	pyruvate:thiamin diphosphate acetaldehydetransferase (decarboxylating)	(1) cpd00011[0] + (1) cpd03049[0] <=> (1) cpd00020[0] + (1) cpd00056[0]	-1:cpd00011:0:0:"CO2";-1:cpd03049:0:0:"2-Hydroxyethyl-ThPP";1:cpd00020:0:0:"Pyruvate";1:cpd00056:0:0:"TPP";1:cpd00067:0:0:"H+"	0	(1) cpd00011[0] + (1) cpd03049[0] <= (1) cpd00020[0] + (1) cpd00056[0] + (1) cpd00067[0]	(1) CO2[0] + (1) 2-Hydroxyethyl-ThPP[0] <= (1) Pyruvate[0] + (1) TPP[0] + (1) H+[0]	<	>					-6.87	0.76	cpd00011;cpd00020;cpd00056;cpd00067;cpd03049	OK	0	rxn31360;rxn31361			corrected
rxn00012	R00015	sucrose:sucrose 1'-beta-D-fructosyltransferase	(2) cpd00076[0] <=> (1) cpd00027[0] + (1) cpd02298[0]	-2:cpd00076:0:0:"Sucrose";1:cpd00027:0:0:"D-Glucose";1:cpd02298:0:0:"1F-beta-D-Fructosylsucrose"	0	(2) cpd00076[0] <=> (1) cpd00027[0] + (1) cpd02298[0]	(2) Sucrose[0] <=> (1) D-Glucose[0] + (1) 1F-beta-D-Fructosylsucrose[0]	=	=					0	2	cpd00027;cpd00076;cpd02298	OK	0				approved
rxn00013	G1PPDM	D-Glucose-1-phosphate:D-glucose-1-phosphate 6-phosphotransferase	(2) cpd00089[0] <=> (1) cpd00027[0] + (1) cpd00499[0]	-2:cpd00067:0:0:"H+";-2:cpd00089:0:0:"Glucose-1-phosphate";1:cpd00027:0:0:"D-Glucose";1:cpd00499:0:0:"D-glucose-1,6-biphosphate"	0	(2) cpd00067[0] + (2) cpd00089[0] <=> (1) cpd00027[0] + (1) cpd00499[0]	(2) H+[0] + (2) Glucose-1-phosphate[0] <=> (1) D-Glucose[0] + (1) D-glucose-1,6-biphosphate[0]	=	=					0	2	cpd00027;cpd00067;cpd00089;cpd00499	OK	0		HB		approved
rxn00014	R00017	ferrocytochrome-c:hydrogen-peroxide oxidoreductase	(1) cpd00025[0] + (2) cpd00110[0] <=> (2) cpd00001[0] + (2) cpd00109[0]	-1:cpd00025:0:0:"H2O2";-2:cpd00067:0:0:"H+";-2:cpd00110:0:0:"Cytochrome c2+";2:cpd00001:0:0:"H2O";2:cpd00109:0:0:"Cytochrome c3+"	0	(1) cpd00025[0] + (2) cpd00067[0] + (2) cpd00110[0] => (2) cpd00001[0] + (2) cpd00109[0]	(1) H2O2[0] + (2) H+[0] + (2) Cytochrome c2+[0] => (2) H2O[0] + (2) Cytochrome c3+[0]	>	>					-62.26	1.12	cpd00001;cpd00025;cpd00067;cpd00109;cpd00110	OK	0	rxn30356			approved
rxn00015	R00018	putrescine:putrescine 4-aminobutyltransferase (ammonia-forming)	(2) cpd00118[0] <=> (1) cpd00013[0] + (1) cpd03802[0]	-2:cpd00118:0:0:"Putrescine";1:cpd00013:0:0:"NH3";1:cpd03802:0:0:"Homospermidine"	0	(2) cpd00118[0] <=> (1) cpd00013[0] + (1) cpd03802[0]	(2) Putrescine[0] <=> (1) NH3[0] + (1) Homospermidine[0]	=	=					-0.52	1.1	cpd00013;cpd00118;cpd03802	OK	0				approved
rxn00016	R00022	chitobiose N-acetylglucosaminohydrolase	(1) cpd00001[0] + (1) cpd01157[0] <=> (2) cpd00122[0]	-1:cpd00001:0:0:"H2O";-1:cpd01157:0:0:"Chitobiose";2:cpd00122:0:0:"N-Acetyl-D-glucosamine"	0	(1) cpd00001[0] + (1) cpd01157[0] => (2) cpd00122[0]	(1) H2O[0] + (1) Chitobiose[0] => (2) N-Acetyl-D-glucosamine[0]	>	>					-3.11	0.69	cpd00001;cpd00122;cpd01157	OK	0				approved
rxn00017	R00023	hydroxylamine:NAD+ oxidoreductase	(2) cpd00003[0] + (2) cpd00165[0] <=> (2) cpd00004[0] + (1) cpd01252[0]	-2:cpd00003:0:0:"NAD";-2:cpd00165:0:0:"Hydroxylamine";2:cpd00004:0:0:"NADH";2:cpd00067:0:0:"H+";1:cpd01252:0:0:"Hyponitrite"	0	(2) cpd00003[0] + (2) cpd00165[0] <= (2) cpd00004[0] + (2) cpd00067[0] + (1) cpd01252[0]	(2) NAD[0] + (2) Hydroxylamine[0] <= (2) NADH[0] + (2) H+[0] + (1) Hyponitrite[0]	<	<					18.47	6.85	cpd00003;cpd00004;cpd00067;cpd00165;cpd01252	OK	0				approved
rxn00018	R00024	3-phospho-D-glycerate carboxy-lyase (dimerizing; D-ribulose-1,5-bisphosphate-forming)	(1) cpd00001[0] + (1) cpd00011[0] + (1) cpd00871[0] <=> (2) cpd00169[0]	-1:cpd00001:0:0:"H2O";-1:cpd00011:0:0:"CO2";-1:cpd00871:0:0:"D-Ribulose 1,5-bisphosphate";2:cpd00067:0:0:"H+";2:cpd00169:0:0:"3-Phosphoglycerate"	0	(1) cpd00001[0] + (1) cpd00011[0] + (1) cpd00871[0] => (2) cpd00067[0] + (2) cpd00169[0]	(1) H2O[0] + (1) CO2[0] + (1) D-Ribulose 1,5-bisphosphate[0] => (2) H+[0] + (2) 3-Phosphoglycerate[0]	>	<					-7.91	0.76	cpd00001;cpd00011;cpd00067;cpd00169;cpd00871	OK	0	rxn20788;rxn38286			corrected
rxn00019	2NPDO	2-Nitropropane:oxygen 2-oxidoreductase	(1) cpd00007[0] + (2) cpd01433[0] <=> (2) cpd00075[0] + (2) cpd00178[0]	-1:cpd00007:0:0:"O2";-2:cpd01433:0:0:"2-Nitropropane";2:cpd00067:0:0:"H+";2:cpd00075:0:0:"Nitrite";2:cpd00178:0:0:"Acetone"	0	(1) cpd00007[0] + (2) cpd01433[0] => (2) cpd00067[0] + (2) cpd00075[0] + (2) cpd00178[0]	(1) O2[0] + (2) 2-Nitropropane[0] => (2) H+[0] + (2) Nitrite[0] + (2) Acetone[0]	>	=					1e+07	1e+07	cpd00007;cpd00067;cpd00075;cpd00178;cpd01433	OK	0				corrected
rxn00020	R00026	cellobiose glucohydrolase	(1) cpd00001[0] + (1) cpd00158[0] <=> (2) cpd00190[0]	-1:cpd00001:0:0:"H2O";-1:cpd00158:0:0:"CELB";2:cpd00190:0:0:"beta-D-Glucose"	0	(1) cpd00001[0] + (1) cpd00158[0] => (2) cpd00190[0]	(1) H2O[0] + (1) CELB[0] => (2) beta-D-Glucose[0]	>	>					-3.11	0.69	cpd00001;cpd00158;cpd00190	OK	0	rxn33580			approved
rxn00021	R00027	2-hydroxy-1,2-diphenylethanone benzaldehyde-lyase (benzaldehyde-forming)	(1) cpd01008[0] <=> (2) cpd00225[0]	-1:cpd01008:0:0:"Benzoin";2:cpd00225:0:0:"Benzaldehyde"	0	(1) cpd01008[0] <=> (2) cpd00225[0]	(1) Benzoin[0] <=> (2) Benzaldehyde[0]	=	=					2.47	0.49	cpd00225;cpd01008	OK	0				approved
rxn00022	R00028	maltose glucohydrolase	(1) cpd00001[0] + (1) cpd00179[0] <=> (2) cpd00027[0]	-1:cpd00001:0:0:"H2O";-1:cpd00179:0:0:"Maltose";2:cpd00027:0:0:"D-Glucose"	0	(1) cpd00001[0] + (1) cpd00179[0] => (2) cpd00027[0]	(1) H2O[0] + (1) Maltose[0] => (2) D-Glucose[0]	>	>					-3.11	0.69	cpd00001;cpd00027;cpd00179	OK	0	rxn30130			approved
rxn00023	R00029	thiosulfate:ferricytochrome-c oxidoreductase	(2) cpd00109[0] + (2) cpd00268[0] <=> (2) cpd00110[0] + (1) cpd01414[0]	-2:cpd00109:0:0:"Cytochrome c3+";-2:cpd00268:0:0:"H2S2O3";2:cpd00067:0:0:"H+";2:cpd00110:0:0:"Cytochrome c2+";1:cpd01414:0:0:"Tetrathionate"	0	(2) cpd00109[0] + (2) cpd00268[0] => (2) cpd00067[0] + (2) cpd00110[0] + (1) cpd01414[0]	(2) Cytochrome c3+[0] + (2) H2S2O3[0] => (2) H+[0] + (2) Cytochrome c2+[0] + (1) Tetrathionate[0]	>	=					-15.47	2.15	cpd00067;cpd00109;cpd00110;cpd00268;cpd01414	OK	0		HB		corrected
rxn00024	R00031	1,2-Benzenediol:oxygen oxidoreductase	(1) cpd00007[0] + (2) cpd00069[0] <=> (2) cpd00291[0]	-1:cpd00007:0:0:"O2";-2:cpd00069:0:0:"L-Tyrosine";2:cpd00291:0:0:"L-Dopa"	0	(1) cpd00007[0] + (2) cpd00069[0] => (2) cpd00291[0]	(1) O2[0] + (2) L-Tyrosine[0] => (2) L-Dopa[0]	>	>					-82.88	0.89	cpd00007;cpd00069;cpd00291	OK	0				approved
rxn00025	R00032	beta-Carotene:oxygen 15,15'-oxidoreductase (bond-cleaving)	(1) cpd00007[0] + (1) cpd01420[0] <=> (2) cpd00304[0]	-1:cpd00007:0:0:"O2";-1:cpd01420:0:0:"beta-Carotene";2:cpd00304:0:0:"Retinal"	0	(1) cpd00007[0] + (1) cpd01420[0] => (2) cpd00304[0]	(1) O2[0] + (1) beta-Carotene[0] => (2) Retinal[0]	>	>					-87.46	1.51	cpd00007;cpd00304;cpd01420	OK	0	rxn35456			approved
rxn00026	R00033	thiamine:oxygen 5-oxidoreductase	(1) cpd00007[0] + (1) cpd00305[0] <=> (1) cpd00025[0] + (1) cpd03484[0]	-1:cpd00007:0:0:"O2";-1:cpd00305:0:0:"Thiamin";1:cpd00025:0:0:"H2O2";1:cpd03484:0:0:"Thiamine aldehyde"	0	(1) cpd00007[0] + (1) cpd00305[0] => (1) cpd00025[0] + (1) cpd03484[0]	(1) O2[0] + (1) Thiamin[0] => (1) H2O2[0] + (1) Thiamine aldehyde[0]	>	>					-26.49	0.74	cpd00007;cpd00025;cpd00305;cpd03484	OK	0				approved
rxn00027	R00034	Cyclobutadipyrimidine (in DNA) pyrimidine-lyase	(1) cpd01990[0] <=> (2) cpd05167[0]	-1:cpd01990:0:0:"Cyclobutadipyrimidine";2:cpd00067:0:0:"H+";2:cpd05167:0:0:"Pyrimidine 5'-deoxynucleotide"	0	(1) cpd01990[0] => (2) cpd00067[0] + (2) cpd05167[0]	(1) Cyclobutadipyrimidine[0] => (2) H+[0] + (2) Pyrimidine 5'-deoxynucleotide[0]	>	>					1e+07	1e+07	cpd00067;cpd01990;cpd05167	CI:4	0				not.assessed
rxn00028	R00068	L-ascorbate:oxygen oxidoreductase	(1) cpd00007[0] + (2) cpd00059[0] <=> (2) cpd00001[0] + (2) cpd00335[0]	-1:cpd00007:0:0:"O2";-2:cpd00059:0:0:"L-Ascorbate";2:cpd00001:0:0:"H2O";2:cpd00335:0:0:"Dehydroascorbate"	0	(1) cpd00007[0] + (2) cpd00059[0] => (2) cpd00001[0] + (2) cpd00335[0]	(1) O2[0] + (2) L-Ascorbate[0] => (2) H2O[0] + (2) Dehydroascorbate[0]	>	>					-122.95	3.01	cpd00001;cpd00007;cpd00059;cpd00335	OK	0	rxn33449;rxn33465;rxn38163	HB		approved
rxn00029	R00036	5-aminolevulinate hydro-lyase (adding 5-aminolevulinate and cyclizing; porphobilinogen-forming)	(2) cpd00338[0] <=> (2) cpd00001[0] + (1) cpd00689[0]	-2:cpd00338:0:0:"5-Aminolevulinate";2:cpd00001:0:0:"H2O";1:cpd00067:0:0:"H+";1:cpd00689:0:0:"Porphobilinogen"	0	(2) cpd00338[0] => (2) cpd00001[0] + (1) cpd00067[0] + (1) cpd00689[0]	(2) 5-Aminolevulinate[0] => (2) H2O[0] + (1) H+[0] + (1) Porphobilinogen[0]	>	>					-15.3	1.69	cpd00001;cpd00067;cpd00338;cpd00689	OK	0	rxn28081			approved
rxn00030	R00038	4-hydroxy-3-hexanone propanal-lyase (propanal-forming)	(2) cpd00371[0] <=> (1) cpd01891[0]	-2:cpd00371:0:0:"Propanal";1:cpd01891:0:0:"Propioin"	0	(2) cpd00371[0] <=> (1) cpd01891[0]	(2) Propanal[0] <=> (1) Propioin[0]	=	=					-4.02	0.42	cpd00371;cpd01891	OK	0				approved
rxn00031	R00039	raffinose:raffinose 1F-alpha-D-galactosyltransferase	(2) cpd00382[0] <=> (1) cpd00076[0] + (1) cpd02464[0]	-2:cpd00382:0:0:"Melitose";1:cpd00076:0:0:"Sucrose";1:cpd02464:0:0:"1F-alpha-D-Galactosylraffinose"	0	(2) cpd00382[0] <=> (1) cpd00076[0] + (1) cpd02464[0]	(2) Melitose[0] <=> (1) Sucrose[0] + (1) 1F-alpha-D-Galactosylraffinose[0]	=	=					0	2	cpd00076;cpd00382;cpd02464	OK	0				approved
rxn00032	Choline:oxygen 1-oxidoreductase	Choline:oxygen 1-oxidoreductase	(1) cpd00007[0] + (2) cpd00098[0] <=> (2) cpd00001[0] + (2) cpd00447[0]	-1:cpd00007:0:0:"O2";-2:cpd00098:0:0:"Choline";2:cpd00001:0:0:"H2O";2:cpd00447:0:0:"Betaine aldehyde"	0	(1) cpd00007[0] + (2) cpd00098[0] <=> (2) cpd00001[0] + (2) cpd00447[0]	(1) O2[0] + (2) Choline[0] <=> (2) H2O[0] + (2) Betaine aldehyde[0]	>	=					-98.3337	1.20496	cpd00001;cpd00007;cpd00098;cpd00447	OK	0				approved
rxn00033	R00042	4-hydroxyphenylpyruvate:oxygen oxidoreductase (decarboxylating)	(1) cpd00007[0] + (2) cpd00868[0] <=> (2) cpd00011[0] + (2) cpd00489[0]	-1:cpd00007:0:0:"O2";-2:cpd00868:0:0:"p-hydroxyphenylpyruvate";2:cpd00011:0:0:"CO2";2:cpd00489:0:0:"4-Hydroxyphenylacetate"	0	(1) cpd00007[0] + (2) cpd00868[0] => (2) cpd00011[0] + (2) cpd00489[0]	(1) O2[0] + (2) p-hydroxyphenylpyruvate[0] => (2) CO2[0] + (2) 4-Hydroxyphenylacetate[0]	>	>					-136.56	1.23	cpd00007;cpd00011;cpd00489;cpd00868	OK	0				approved
rxn00034	R00043	1,2-bis(4-hydroxy-3-methoxyphenyl)ethylene:oxygen oxidoreductase (alpha-beta-bond-cleaving)	(1) cpd00007[0] + (1) cpd02768[0] <=> (2) cpd00561[0]	-1:cpd00007:0:0:"O2";-1:cpd02768:0:0:"1,2-Bis(4-hydroxy-3-methoxyphenyl)ethylene";2:cpd00561:0:0:"Vanillin"	0	(1) cpd00007[0] + (1) cpd02768[0] => (2) cpd00561[0]	(1) O2[0] + (1) 1,2-Bis(4-hydroxy-3-methoxyphenyl)ethylene[0] => (2) Vanillin[0]	>	>					-83.78	1.23	cpd00007;cpd00561;cpd02768	OK	0				approved
rxn00035	R00044	columbamine:oxygen oxidoreductase (cyclizing)	(1) cpd00007[0] + (2) cpd01238[0] <=> (2) cpd00001[0] + (2) cpd00563[0]	-1:cpd00007:0:0:"O2";-2:cpd01238:0:0:"Columbamine";2:cpd00001:0:0:"H2O";2:cpd00563:0:0:"Berberine"	0	(1) cpd00007[0] + (2) cpd01238[0] => (2) cpd00001[0] + (2) cpd00563[0]	(1) O2[0] + (2) Columbamine[0] => (2) H2O[0] + (2) Berberine[0]	>	>					-121.35	4.77	cpd00001;cpd00007;cpd00563;cpd01238	OK	0				approved
rxn00036	R00045	3,4-dihydroxy-L-phenylalanine:oxygen oxidoreductase	(1) cpd00007[0] + (2) cpd00291[0] <=> (2) cpd00001[0] + (2) cpd00612[0]	-1:cpd00007:0:0:"O2";-2:cpd00291:0:0:"L-Dopa";2:cpd00001:0:0:"H2O";2:cpd00612:0:0:"Dopaquinone"	0	(1) cpd00007[0] + (2) cpd00291[0] => (2) cpd00001[0] + (2) cpd00612[0]	(1) O2[0] + (2) L-Dopa[0] => (2) H2O[0] + (2) Dopaquinone[0]	>	>					-79.73	3.53	cpd00001;cpd00007;cpd00291;cpd00612	OK	0				approved
rxn00037	R_R00047_c	omega-3 fatty acid desaturase, chloroplast (FAD7) (FADD)	(1) cpd00007[0] + (2) cpd00752[0] <=> (2) cpd00011[0] + (2) cpd00778[0]	-1:cpd00007:0:0:"O2";-2:cpd00067:0:0:"H+";-2:cpd00752:0:0:"6-Hydroxynicotinate";2:cpd00011:0:0:"CO2";2:cpd00778:0:0:"2,5-Dihydroxypyridine"	0	(1) cpd00007[0] + (2) cpd00067[0] + (2) cpd00752[0] => (2) cpd00011[0] + (2) cpd00778[0]	(1) O2[0] + (2) H+[0] + (2) 6-Hydroxynicotinate[0] => (2) CO2[0] + (2) 2,5-Dihydroxypyridine[0]	>	>					-83.08	1.26	cpd00007;cpd00011;cpd00067;cpd00752;cpd00778	OK	0				approved
rxn00038	R00048	(R)-3-((R)-3-Hydroxybutanoyloxy)-butanoate hydroxybutanoylhydrolase	(1) cpd00001[0] + (1) cpd02767[0] <=> (2) cpd00797[0]	-1:cpd00001:0:0:"H2O";-1:cpd02767:0:0:"(R)-3-((R)-3-Hydroxybutanoyloxy)butanoate";1:cpd00067:0:0:"H+";2:cpd00797:0:0:"(R)-3-Hydroxybutanoate"	0	(1) cpd00001[0] + (1) cpd02767[0] <=> (1) cpd00067[0] + (2) cpd00797[0]	(1) H2O[0] + (1) (R)-3-((R)-3-Hydroxybutanoyloxy)butanoate[0] <=> (1) H+[0] + (2) (R)-3-Hydroxybutanoate[0]	=	=					-2.14	0.68	cpd00001;cpd00067;cpd00797;cpd02767	OK	0				approved
rxn00039	R00049	1-O-galloyl-beta-D-glucose:1-O-galloyl-beta-D-glucose O-galloyltransferase	(2) cpd00852[0] <=> (1) cpd00027[0] + (1) cpd02532[0]	-2:cpd00852:0:0:"beta-Glucogallin";1:cpd00027:0:0:"D-Glucose";1:cpd02532:0:0:"1-O,6-O-Digalloyl-beta-D-glucose"	0	(2) cpd00852[0] <=> (1) cpd00027[0] + (1) cpd02532[0]	(2) beta-Glucogallin[0] <=> (1) D-Glucose[0] + (1) 1-O,6-O-Digalloyl-beta-D-glucose[0]	=	=					0	2	cpd00027;cpd00852;cpd02532	OK	0				approved
rxn00040	R00053	digallate acylhydrolase	(1) cpd00001[0] + (1) cpd01108[0] <=> (2) cpd01020[0]	-1:cpd00001:0:0:"H2O";-1:cpd01108:0:0:"Digallate";1:cpd00067:0:0:"H+";2:cpd01020:0:0:"Gallate"	0	(1) cpd00001[0] + (1) cpd01108[0] <=> (1) cpd00067[0] + (2) cpd01020[0]	(1) H2O[0] + (1) Digallate[0] <=> (1) H+[0] + (2) Gallate[0]	=	=					-2.14	0.68	cpd00001;cpd00067;cpd01020;cpd01108	OK	0				approved
rxn00041	R00054	orsellinate-depside hydrolase	(1) cpd00001[0] + (1) cpd01843[0] <=> (2) cpd01265[0]	-1:cpd00001:0:0:"H2O";-1:cpd01843:0:0:"Lecanoric acid";1:cpd00067:0:0:"H+";2:cpd01265:0:0:"Orsellinate"	0	(1) cpd00001[0] + (1) cpd01843[0] <=> (1) cpd00067[0] + (2) cpd01265[0]	(1) H2O[0] + (1) Lecanoric acid[0] <=> (1) H+[0] + (2) Orsellinate[0]	=	=					-2.14	0.68	cpd00001;cpd00067;cpd01265;cpd01843	OK	0				approved
rxn00042	R00055	inosine:oxygen 5'-oxidoreductase	(1) cpd00007[0] + (2) cpd00246[0] <=> (2) cpd00001[0] + (2) cpd01365[0]	-1:cpd00007:0:0:"O2";-2:cpd00246:0:0:"Inosine";2:cpd00001:0:0:"H2O";2:cpd01365:0:0:"5'-Oxoinosine"	0	(1) cpd00007[0] + (2) cpd00246[0] => (2) cpd00001[0] + (2) cpd01365[0]	(1) O2[0] + (2) Inosine[0] => (2) H2O[0] + (2) 5'-Oxoinosine[0]	>	>					-98.33	1.2	cpd00001;cpd00007;cpd00246;cpd01365	OK	0				approved
rxn00043	R00058	catechol:oxygen oxidoreductase	(1) cpd00007[0] + (2) cpd00077[0] <=> (2) cpd00001[0] + (2) cpd01569[0]	-1:cpd00007:0:0:"O2";-2:cpd00077:0:0:"Catechol";2:cpd00001:0:0:"H2O";2:cpd01569:0:0:"1,2-Benzoquinone"	0	(1) cpd00007[0] + (2) cpd00077[0] => (2) cpd00001[0] + (2) cpd01569[0]	(1) O2[0] + (2) Catechol[0] => (2) H2O[0] + (2) 1,2-Benzoquinone[0]	>	>					-82.17	3.6	cpd00001;cpd00007;cpd00077;cpd01569	OK	0				approved
rxn00044	R00059	N-(6-aminohexanoyl)-6-aminohexanoate amidohydrolase	(1) cpd00001[0] + (1) cpd00921[0] <=> (2) cpd01588[0]	-1:cpd00001:0:0:"H2O";-1:cpd00921:0:0:"N-(6-Aminohexanoyl)-6-aminohexanoate";2:cpd01588:0:0:"Epsilcapramine"	0	(1) cpd00001[0] + (1) cpd00921[0] <=> (2) cpd01588[0]	(1) H2O[0] + (1) N-(6-Aminohexanoyl)-6-aminohexanoate[0] <=> (2) Epsilcapramine[0]	=	=					-0.46	0.85	cpd00001;cpd00921;cpd01588	OK	0				approved
rxn00045	R00062	bilirubin-glucuronoside:bilirubin-glucuronoside D-glucuronosyltransferase	(2) cpd02141[0] <=> (1) cpd00376[0] + (1) cpd03428[0]	-2:cpd02141:0:0:"Bilirubin-glucuronoside";1:cpd00376:0:0:"Bilirubin";1:cpd03428:0:0:"Bilirubin-bisglucuronoside"	0	(2) cpd02141[0] <=> (1) cpd00376[0] + (1) cpd03428[0]	(2) Bilirubin-glucuronoside[0] <=> (1) Bilirubin[0] + (1) Bilirubin-bisglucuronoside[0]	=	=					0	2	cpd00376;cpd02141;cpd03428	OK	0				approved
rxn00046	R00063	1-O-sinapoyl-beta-D-glucose:1-O-sinapoyl-beta-D-glucose 1-O-sinapoyltransferase	(2) cpd00865[0] <=> (1) cpd00027[0] + (1) cpd02622[0]	-2:cpd00865:0:0:"1-O-Sinapoyl-beta-D-glucose";1:cpd00027:0:0:"D-Glucose";1:cpd02622:0:0:"1,2-Bis-O-sinapoyl-beta-D-glucoside"	0	(2) cpd00865[0] <=> (1) cpd00027[0] + (1) cpd02622[0]	(2) 1-O-Sinapoyl-beta-D-glucose[0] <=> (1) D-Glucose[0] + (1) 1,2-Bis-O-sinapoyl-beta-D-glucoside[0]	=	=					0	2	cpd00027;cpd00865;cpd02622	OK	0				approved
rxn00047	R_R00064_c	R_4__4_Deoxy_beta_D_gluc_4_enuronosyl__D_galacturonate_lyase	(1) cpd02883[0] <=> (2) cpd02508[0]	-1:cpd02883:0:0:"4-(4-Deoxy-beta-D-gluc-4-enuronosyl)-D-galacturonate";2:cpd02508:0:0:"5-Dehydro-4-deoxy-D-glucuronate"	0	(1) cpd02883[0] => (2) cpd02508[0]	(1) 4-(4-Deoxy-beta-D-gluc-4-enuronosyl)-D-galacturonate[0] => (2) 5-Dehydro-4-deoxy-D-glucuronate[0]	>	>					-8.55	2.73	cpd02508;cpd02883	OK	0				approved
