id	abbreviation	name	code	stoichiometry	is_transport	equation	definition	reversibility	direction	abstract_reaction	pathways	aliases	ec_numbers	deltag	deltagerr	compound_ids	status	is_obsolete	linked_reaction	notes	is_copy_of	gapseq.status
rxn22971	RXN-12529.c	RXN-12529.c	(1) cpd00042[0] + (1) cpd02766[0] <=> (1) cpd00033[0] + (1) cpd23908[0]	-1:cpd00042:0:0:"GSH";-1:cpd02766:0:0:"gamma-L-Glutamyl-L-cysteinyl-beta-alanine";1:cpd00033:0:0:"Glycine";1:cpd23908:0:0:"gamma-Glu-Cys-gamma-Glu-Cys-beta-Ala"	0	(1) cpd00042[0] + (1) cpd02766[0] <= (1) cpd00033[0] + (1) cpd23908[0]	(1) GSH[0] + (1) gamma-L-Glutamyl-L-cysteinyl-beta-alanine[0] <= (1) Glycine[0] + (1) gamma-Glu-Cys-gamma-Glu-Cys-beta-Ala[0]	<	<					352.56	3.06	cpd00033;cpd00042;cpd02766;cpd23908	CI:2	0				not.assessed
rxn22972	RXN-12530.c	rutinase	(1) cpd00001[0] + (1) cpd03341[0] <=> (1) cpd00313[0] + (1) cpd05165[0]	-1:cpd00001:0:0:"H2O";-1:cpd03341:0:0:"Rutin";1:cpd00067:0:0:"H+";1:cpd00313:0:0:"Quercetin";1:cpd05165:0:0:"Rutinose"	0	(1) cpd00001[0] + (1) cpd03341[0] => (1) cpd00067[0] + (1) cpd00313[0] + (1) cpd05165[0]	(1) H2O[0] + (1) Rutin[0] => (1) H+[0] + (1) Quercetin[0] + (1) Rutinose[0]	>	>					-3.11	0.69	cpd00001;cpd00067;cpd00313;cpd03341;cpd05165	OK	0	rxn22973	HB		not.assessed
rxn22973	RXN-12530.e	rutinase	(1) cpd00001[0] + (1) cpd03341[0] <=> (1) cpd00313[0] + (1) cpd05165[0]	-1:cpd00001:0:0:"H2O";-1:cpd03341:0:0:"Rutin";1:cpd00067:0:0:"H+";1:cpd00313:0:0:"Quercetin";1:cpd05165:0:0:"Rutinose"	0	(1) cpd00001[0] + (1) cpd03341[0] => (1) cpd00067[0] + (1) cpd00313[0] + (1) cpd05165[0]	(1) H2O[0] + (1) Rutin[0] => (1) H+[0] + (1) Quercetin[0] + (1) Rutinose[0]	>	>					-3.11	0.69	cpd00001;cpd00067;cpd00313;cpd03341;cpd05165	OK	1	rxn22972	HB	rxn22972	not.assessed
rxn22974	RXN-12531.c	2-protocatechuoylphloroglucinolcarboxylate esterase	(1) cpd00001[0] + (1) cpd02754[0] <=> (1) cpd00197[0] + (1) cpd23909[0]	-1:cpd00001:0:0:"H2O";-1:cpd02754:0:0:"2-Protocatechoylphloroglucinolcarboxylate";1:cpd00067:0:0:"H+";1:cpd00197:0:0:"Protocatechuate";1:cpd23909:0:0:"2,4,6-trihydroxybenzene carboxylic acid"	0	(1) cpd00001[0] + (1) cpd02754[0] <=> (1) cpd00067[0] + (1) cpd00197[0] + (1) cpd23909[0]	(1) H2O[0] + (1) 2-Protocatechoylphloroglucinolcarboxylate[0] <=> (1) H+[0] + (1) Protocatechuate[0] + (1) 2,4,6-trihydroxybenzene carboxylic acid[0]	=	=					-2.14	0.68	cpd00001;cpd00067;cpd00197;cpd02754;cpd23909	OK	0	rxn22975			not.assessed
rxn22975	RXN-12531.e	2-protocatechuoylphloroglucinolcarboxylate esterase	(1) cpd00001[0] + (1) cpd02754[0] <=> (1) cpd00197[0] + (1) cpd23909[0]	-1:cpd00001:0:0:"H2O";-1:cpd02754:0:0:"2-Protocatechoylphloroglucinolcarboxylate";1:cpd00067:0:0:"H+";1:cpd00197:0:0:"Protocatechuate";1:cpd23909:0:0:"2,4,6-trihydroxybenzene carboxylic acid"	0	(1) cpd00001[0] + (1) cpd02754[0] <=> (1) cpd00067[0] + (1) cpd00197[0] + (1) cpd23909[0]	(1) H2O[0] + (1) 2-Protocatechoylphloroglucinolcarboxylate[0] <=> (1) H+[0] + (1) Protocatechuate[0] + (1) 2,4,6-trihydroxybenzene carboxylic acid[0]	=	=					-2.14	0.68	cpd00001;cpd00067;cpd00197;cpd02754;cpd23909	OK	1	rxn22974		rxn22974	not.assessed
rxn22976	RXN-12532.c	RXN-12532.c	(1) cpd00001[0] + (1) cpd28140[0] <=> (1) cpd00033[0] + (1) cpd28139[0]	-1:cpd00001:0:0:"H2O";-1:cpd28140:0:0:"S-Substituted-Glutathione";1:cpd00033:0:0:"Glycine";1:cpd28139:0:0:"S-Substituted-Glutamyl-Cysteine"	0	(1) cpd00001[0] + (1) cpd28140[0] <=> (1) cpd00033[0] + (1) cpd28139[0]	(1) H2O[0] + (1) S-Substituted-Glutathione[0] <=> (1) Glycine[0] + (1) S-Substituted-Glutamyl-Cysteine[0]	=	=					1e+07	1e+07	cpd00001;cpd00033;cpd28139;cpd28140	CPDFORMERROR	0				not.assessed
rxn22977	RXN-12533.c	RXN-12533.c	(1) cpd00001[0] + (1) cpd28139[0] <=> (1) cpd00023[0] + (1) cpd28141[0]	-1:cpd00001:0:0:"H2O";-1:cpd28139:0:0:"S-Substituted-Glutamyl-Cysteine";1:cpd00023:0:0:"L-Glutamate";1:cpd28141:0:0:"S-Substituted-L-Cysteines"	0	(1) cpd00001[0] + (1) cpd28139[0] => (1) cpd00023[0] + (1) cpd28141[0]	(1) H2O[0] + (1) S-Substituted-Glutamyl-Cysteine[0] => (1) L-Glutamate[0] + (1) S-Substituted-L-Cysteines[0]	>	>					1e+07	1e+07	cpd00001;cpd00023;cpd28139;cpd28141	CPDFORMERROR	0				not.assessed
rxn22978	RXN-12534.c	RXN-12534.c	(1) cpd00070[0] + (1) cpd28141[0] <=> (1) cpd00010[0] + (1) cpd27600[0]	-1:cpd00070:0:0:"Malonyl-CoA";-1:cpd28141:0:0:"S-Substituted-L-Cysteines";1:cpd00010:0:0:"CoA";1:cpd00067:0:0:"H+";1:cpd27600:0:0:"N-Malonyl-L-Cysteine-S-Conjugate"	0	(1) cpd00070[0] + (1) cpd28141[0] => (1) cpd00010[0] + (1) cpd00067[0] + (1) cpd27600[0]	(1) Malonyl-CoA[0] + (1) S-Substituted-L-Cysteines[0] => (1) CoA[0] + (1) H+[0] + (1) N-Malonyl-L-Cysteine-S-Conjugate[0]	>	>					1e+07	1e+07	cpd00010;cpd00067;cpd00070;cpd27600;cpd28141	CPDFORMERROR	0				not.assessed
rxn22979	RXN-12535.c	ethylene forming enzyme	(3) cpd00007[0] + (3) cpd00024[0] + (1) cpd00051[0] <=> (3) cpd00001[0] + (7) cpd00011[0] + (1) cpd00036[0] + (1) cpd02431[0] + (2) cpd03956[0] + (1) cpd19240[0]	-3:cpd00007:0:0:"O2";-3:cpd00024:0:0:"2-Oxoglutarate";-1:cpd00051:0:0:"L-Arginine";-3:cpd00067:0:0:"H+";3:cpd00001:0:0:"H2O";7:cpd00011:0:0:"CO2";1:cpd00036:0:0:"Succinate";1:cpd02431:0:0:"1-Pyrroline-5-carboxylate";2:cpd03956:0:0:"Ethylene";1:cpd19240:0:0:"Guanidine"	0	(3) cpd00007[0] + (3) cpd00024[0] + (1) cpd00051[0] + (3) cpd00067[0] => (3) cpd00001[0] + (7) cpd00011[0] + (1) cpd00036[0] + (1) cpd02431[0] + (2) cpd03956[0] + (1) cpd19240[0]	(3) O2[0] + (3) 2-Oxoglutarate[0] + (1) L-Arginine[0] + (3) H+[0] => (3) H2O[0] + (7) CO2[0] + (1) Succinate[0] + (1) 1-Pyrroline-5-carboxylate[0] + (2) Ethylene[0] + (1) Guanidine[0]	>	>					-348.79	4.86	cpd00001;cpd00007;cpd00011;cpd00024;cpd00036;cpd00051;cpd00067;cpd02431;cpd03956;cpd19240	OK	0				not.assessed
rxn22980	RXN-12536.c	L-hydroxyarginine lyase	(1) cpd23915[0] <=> (1) cpd00001[0] + (1) cpd02431[0] + (1) cpd19240[0]	-1:cpd23915:0:0:"L-hydroxyarginine";1:cpd00001:0:0:"H2O";1:cpd00067:0:0:"H+";1:cpd02431:0:0:"1-Pyrroline-5-carboxylate";1:cpd19240:0:0:"Guanidine"	0	(1) cpd23915[0] => (1) cpd00001[0] + (1) cpd00067[0] + (1) cpd02431[0] + (1) cpd19240[0]	(1) L-hydroxyarginine[0] => (1) H2O[0] + (1) H+[0] + (1) 1-Pyrroline-5-carboxylate[0] + (1) Guanidine[0]	>	>					-21.5	1.61	cpd00001;cpd00067;cpd02431;cpd19240;cpd23915	OK	0				not.assessed
