name,altname,exid,id,guild,metacyc,exid_seed,id_seed
Glucuronamide,,,,Amines/amides,,NA,NA
L-Alaninamide,,,,Amines/amides,,NA,NA
D-Alanine,,,,Amino acids,,NA,NA
L-Alanine,alanine,EX_ala_L(e),ala_L[e],Amino acids,,EX_cpd00035_e0,cpd00035[e0]
L-Arginine,arginine,EX_arg_L(e),arg_L[e],Amino acids,,EX_cpd00051_e0,cpd00051[e0]
L-Alanylglycine,,,,Amino acids,,NA,NA
L-Asparagine,asparagine,EX_asn_L(e),asn_L[e],Amino acids,,EX_cpd00132_e0,cpd00132[e0]
L-Aspartic Acid,aspartate,EX_asp_L(e),asp_L[e],Amino acids,,EX_cpd00041_e0,cpd00041[e0]
L-Cysteine,cysteine,EX_cys_L(e),cys_L[e],Amino acids,,EX_cpd00084_e0,cpd00084[e0]
L-Glutamic Acid,glutamate,EX_glu_L(e),glu_L[e],Amino acids,,EX_cpd00023_e0,cpd00023[e0]
L-Glutamine,glutamine,EX_gln_L(e),gln_L[e],Amino acids,,EX_cpd00053_e0,cpd00053[e0]
L-Glycine,glycine,EX_gly_L(e),gly_L[e],Amino acids,,EX_cpd00033_e0,cpd00033[e0]
Glycyl-L-Aspartic Acid,,,,Amino acids,,NA,NA
Glycyl-L-Glutamic Acid,,,,Amino acids,,NA,NA
L-Histidine,histidine,EX_his_L(e),his_L[e],Amino acids,,EX_cpd00119_e0,cpd00119[e0]
Hydroxy-L-Proline,,,,Amino acids,,NA,NA
L-Isoleucine,isoleucine,EX_ile_L(e),ile_L[e],Amino acids,,EX_cpd00322_e0,cpd00322[e0]
L-Leucine,leucine,EX_leu_L(e),leu_L[e],Amino acids,,EX_cpd00107_e0,cpd00107[e0]
L-Lysine,lysine,EX_lys_L(e),lys_L[e],Amino acids,,EX_cpd00039_e0,cpd00039[e0]
L-Methionine,methionine,EX_met_L(e),met_L[e],Amino acids,,EX_cpd00060_e0,cpd00060[e0]
L-Ornithine,ornithine,EX_orn(e),orn[e],Amino acids,,EX_cpd00064_e0,cpd00064[e0]
L-Phenylalanine,phenylalanine,EX_phe_L(e),phe_L[e],Amino acids,,EX_cpd00066_e0,cpd00066[e0]
L-Proline,proline,EX_pro_L(e),pro_L[e],Amino acids,,EX_cpd00129_e0,cpd00129[e0]
L-Pyroglutamic Acid,,,,Amino acids,,NA,NA
D-Serine,,,,Amino acids,,NA,NA
L-Serine,serine,EX_ser_L(e),ser_L[e],Amino acids,,EX_cpd00054_e0,cpd00054[e0]
L-Threonine,threonine,EX_thr_L(e),thr_L[e],Amino acids,,EX_cpd00161_e0,cpd00161[e0]
L-Tryptophan,tryptophan,EX_trp_L(e),trp_L[e],Amino acids,,EX_cpd00065_e0,cpd00065[e0]
L-Tyrosine,tyrosine,EX_tyr_L(e),try_L[e],Amino acids,,EX_cpd00069_e0,cpd00069[e0]
L-Valine,valine,EX_val_L(e),val_L[e],Amino acids,,EX_cpd00156_e0,cpd00156[e0]
D-L-Carnitine,carnitine,EX_crn(e),crn[e],Amino acids,,EX_cpd00266_e0,cpd00266[e0]
gamma-Amino Butyric Acid,,,,Amino acids,,NA,NA
Urocanic Acid,,,,Miscellaneous,,NA,NA
Inosine,,EX_ins(e),ins[e],Miscellaneous,,EX_cpd00246_e0,cpd00246[e0]
Uridine,,EX_uri(e),uri[e],Miscellaneous,,EX_cpd00249_e0,cpd00249[e0]
Thymidine,,EX_thymd(e),thymd[e],Miscellaneous,,EX_cpd00184_e0,cpd00184[e0]
Phenyethylamine,,,,Amines/amides,,NA,NA
Putrescine,,,,Amines/amides,,NA,NA
2-Aminoethanol,,,,Amines/amides,,NA,NA
2-3-Butanediol,,,,Miscellaneous,,NA,NA
Glycerol,,,,Miscellaneous,,NA,NA
D-L-alpha-Glycerol Phosphate,,,,Miscellaneous,,NA,NA
Glucose-1-Phosphate,,,,Miscellaneous,,NA,NA
Glucose-6-Phosphate,,,,Miscellaneous,,NA,NA
Acetoin,,EX_actn_R(e),actn_R[e],,,EX_cpd00361_e0,cpd00361[e0]
Butanediol,,EX_btd_RR(e),btd_RR[e],,,EX_cpd01947_e0,cpd01947[e0]
Butanol,,EX_btoh(e),btoh[e],,,EX_cpd03662_e0,cpd03662[e0]
Butyrate,,EX_but(e),but[e],,,EX_cpd00211_e0,cpd00211[e0]
Cholesterol,,EX_chsterol(e),chsterol[e],,,EX_cpd00160_e0,cpd00160[e0]
D-Arabinose,arabinose,EX_arab_D(e),arab_D[e],,,EX_cpd00185_e0,cpd00185[e0]
D-glucosamine,glucosamine,EX_gam(e),gam[e],,,EX_cpd00276_e0,cpd00276[e0]
D-Lactate,,EX_lac_D(e),lac_D[e],,,EX_cpd00221_e0,cpd00221[e0]
Ethanol,,EX_etoh(e),etoh[e],,,EX_cpd00363_e0,cpd00363[e0]
Ribitol,,EX_rbt(e),rbt[e],,,EX_cpd00366_e0,cpd00366[e0]
Galacturonate,,EX_galur(e),galur[e],,,EX_cpd00280_e0,cpd00280[e0]
Gluconate,,EX_glcn(e),glcn[e],,,EX_cpd00222_e0,cpd00222[e0]
Glucuronate,,EX_glcur(e),glcur[e],,,EX_cpd00164_e0,cpd00164[e0]
Glycerol,,EX_glyc(e),glyc[e],,,EX_cpd00100_e0,cpd00100[e0]
Hydrogen,,EX_h2(e),h2[e],,,EX_cpd11640_e0,cpd11640[e0]
Hydrogen sulfide,,EX_h2s(e),h2s[e],,,EX_cpd00239_e0,cpd00239[e0]
