name	metacyc	vmh	seed	group
L-Ornithine;ornithine		EX_orn(e)	EX_cpd00064_e0	Amino acids
L-Phenylalanine;phenylalanine		EX_phe_L(e)	EX_cpd00066_e0	Amino acids
L-Proline;proline		EX_pro_L(e)	EX_cpd00129_e0	Amino acids
L-Pyroglutamic Acid				Amino acids
L-Serine;serine		EX_ser_L(e)	EX_cpd00054_e0	Amino acids
L-Threonine;threonine		EX_thr_L(e)	EX_cpd00161_e0	Amino acids
L-Tryptophan;tryptophan		EX_trp_L(e)	EX_cpd00065_e0	Amino acids
L-Tyrosine;tyrosine		EX_tyr_L(e)	EX_cpd00069_e0	Amino acids
L-Valine;valine		EX_val_L(e)	EX_cpd00156_e0	Amino acids
D-L-Carnitine;carnitine		EX_crn(e)	EX_cpd00266_e0	Amino acids
gamma-Amino Butyric Acid				Amino acids
Urocanic Acid				Miscellaneous
Inosine		EX_ins(e)	EX_cpd00246_e0	Miscellaneous
Uridine		EX_uri(e)	EX_cpd00249_e0	Miscellaneous
Thymidine		EX_thymd(e)	EX_cpd00184_e0	Miscellaneous
2-Aminoethanol				Amines/amides
2-3-Butanediol				Miscellaneous
Glucose-1-Phosphate		EX_g1p(e)	EX_cpd00089_e0	Miscellaneous
Acetoin		EX_actn_R(e)	EX_cpd00361_e0	
Butanediol		EX_btd_RR(e)	EX_cpd01947_e0	
Butanol		EX_btoh(e)	EX_cpd03662_e0	
Butyrate;Butyric acid		EX_but(e)	EX_cpd00211_e0	Carboxylic acids
Cholesterol		EX_chsterol(e)	EX_cpd00160_e0	
D-Arabinose;arabinose		EX_arab_D(e)	EX_cpd00185_e0	
D-glucosamine;glucosamine		EX_gam(e)	EX_cpd00276_e0	
D-Lactate;D-Lactic acid;lactate;lactic acid;(R)-Lactate;(R)-Lactic acid		EX_lac_D(e)	EX_cpd00221_e0	
Ethanol		EX_etoh(e)	EX_cpd00363_e0	
Ribitol		EX_rbt(e)	EX_cpd00366_e0	
Galacturonate;D-Galacturonic Acid		EX_galur(e)	EX_cpd00280_e0	Carboxylic acids
Gluconate;D-Gluconic Acid		EX_glcn(e)	EX_cpd00222_e0	Carboxylic acids
Glucuronate;D-Glucuronic Acid		EX_glcur(e)	EX_cpd00164_e0	Carboxylic acids
Glycerol		EX_glyc(e)	EX_cpd00100_e0	
Hydrogen		EX_h2(e)	EX_cpd11640_e0	
