rxn,genes,pwy,ncbi,uniprot,location,go,org
|RXN-19406|,LARGE,|PWY-7981|,AL008630,O95461,|CCO-GOLGI-MEM|;|CCO-GOLGI|;|CCO-CYTOSKELETON|,|GO:0005515|;|GO:0060538|;|GO:0046872|;|GO:0046716|;|GO:0043403|;|GO:0043231|;|GO:0042285|;|GO:0035269|;|GO:0030173|;|GO:0030145|;|GO:0016757|;|GO:0016740|;|GO:0016020|;|GO:0015020|;|GO:0009101|;|GO:0008152|;|GO:0006688|;|GO:0003824|;|GO:0000139|;|GO:0016021|;|GO:0005794|;|GO:0005871|;|GO:0016051|;|GO:0016758|;|GO:0006486|;|GO:0006044|;|GO:0008375|,|TAX-9606|
|RXN-19406|,LARGE2,|PWY-7981|,AF258588,Q8N3Y3,|CCO-GOLGI|;|CCO-GOLGI-MEM|,|GO:0005515|;|GO:0046872|;|GO:0046716|;|GO:0042285|;|GO:0035269|;|GO:0030145|;|GO:0016757|;|GO:0016021|;|GO:0016020|;|GO:0015020|;|GO:0008152|;|GO:0006486|;|GO:0005794|;|GO:0003824|;|GO:0000139|;|GO:0016740|,|TAX-9606|
|ACETOACETATE-DECARBOXYLASE-RXN|,adc,|PWY-6588|;|PWY-6876|,M55392,P23670,,,|TAX-272562|
|RXN-10045|,aiiD,,AF529198,,,,|TAX-211969|;|TAX-211969|;|TAX-211969|
|RXN-17571|,adh1,|PWY-7774|,AB112920,Q768S9,,,|TAX-235467|
|RXN-17571|,adh2,|PWY-7774|,AB112921,Q768S7,,,|TAX-235467|
|RXN-17571|,adh3,|PWY-7774|,AB112922,Q768S6,,,|TAX-235467|
|RXN-17571|,adh1,|PWY-7775|,,A0QTV3,,,|TAX-246196|
|TRNA-URACIL-5--METHYLTRANSFERASE-RXN|,trmA,,,P23003,|CCO-CYTOSOL|,|GO:0032259|;|GO:0016740|;|GO:0008173|;|GO:0008168|;|GO:0008033|;|GO:0006396|;|GO:0061818|;|GO:0005829|;|GO:0030488|;|GO:0030697|;|GO:0000049|;|GO:0019843|,|TAX-511145|
|RXN-14602|,bgpA,,GU196785,D2KAT1,,,|TAX-490575|
|RXN-13406|,AF216283,|P541-PWY|,AF216283,,,,|TAX-1850|;|TAX-1850|
|RXN-14139|,tunN,|PWY-7821|,,,,,|TAX-1969|
|RXN-14139|,yhdE,,,P25536,|CCO-CYTOSOL|,|GO:0035529|;|GO:0016787|;|GO:0016462|;|GO:0009117|;|GO:0004551|;|GO:0047429|;|GO:0005737|;|GO:0030145|;|GO:0042803|;|GO:0036218|;|GO:0036221|;|GO:0042802|,|TAX-511145|
|RXN-8001|,HDH,|HISTSYN-PWY|,M60466,,,,|TAX-3715|
|RXN-8001|,hisD,|HISTSYN-PWY|,,,,,|TAX-2336|
|RXN-8001|,hisD,|HISTSYN-PWY|,,P06988,|CCO-CYTOSOL|,|GO:0016616|;|GO:0005737|;|GO:0016491|;|GO:0008652|;|GO:0051287|;|GO:0008270|;|GO:0055114|;|GO:0005829|;|GO:0030145|;|GO:0046872|;|GO:0004399|;|GO:0000105|,|TAX-511145|
|RXN-19876|,fom1,|PWY-5757|,AB016934,P96074,,,|TAX-43759|
|PHOSMANMUT-RXN|,manB,,,P75050,,,|TAX-272634|
|PHOSMANMUT-RXN|,PMM,|PWY-5659|,,A0A0K9RL25,,,|TAX-3562|
|PHOSMANMUT-RXN|,PH0923,|PWY-5659|,,O58651,,,|TAX-53953|
|PHOSMANMUT-RXN|,PMM,|PWY-5659|,,O80840,,,|ORG-5993|
|PHOSMANMUT-RXN|,algC,|PWY-5659|,M60873,P26276,,,|TAX-287|
|PHOSMANMUT-RXN|,cpsG,|PWY-5659|,,P24175,|CCO-CYTOSOL|,|GO:0071704|;|GO:0016868|;|GO:0005975|;|GO:0000287|;|GO:0046872|;|GO:0016853|;|GO:0009103|;|GO:0009298|;|GO:0005829|;|GO:0004615|,|TAX-511145|
|RXN66-510|,ALOX15,|PWY-8056|;|PWY66-392|;|PWY66-397|,U88317,P16050,|CCO-PM-ANIMAL|,|GO:0016491|;|GO:0006629|;|GO:0005886|;|GO:0006954|;|GO:0005506|;|GO:0019370|;|GO:0016165|,|TAX-9606|
|LACTATE-RACEMASE-RXN|,larA,,,F9USS9,,,|TAX-1590|
|RXN0-961|,mpaA,|PWY0-1546|,,P0ACV6,|CCO-CYTOSOL|,|GO:0071555|;|GO:0046872|;|GO:0016998|;|GO:0016787|;|GO:0008237|;|GO:0008233|;|GO:0004180|;|GO:0006508|;|GO:0004040|;|GO:0004181|;|GO:0061473|;|GO:0042803|;|GO:0009253|;|GO:0008270|;|GO:0009050|;|GO:0005737|,|TAX-511145|
|RXN-13679|,ACY3,,AF359506,Q96HD9,,,|TAX-9606|
|RXN-11496|,poxB,|PWY-7544|;|PWY-6873|,,P07003,|CCO-PM-BAC-NEG|;|CCO-CYTOSOL|,|GO:0046872|;|GO:0000166|;|GO:0003824|;|GO:0055114|;|GO:0005886|;|GO:0016491|;|GO:0016020|;|GO:0032991|;|GO:0042867|;|GO:0050660|;|GO:0042802|;|GO:0006090|;|GO:0030976|;|GO:0000287|;|GO:0052737|;|GO:0005829|;|GO:0008289|,|TAX-511145|
|RXN-16089|,perA,|PWY-7600|,,Q4H424,,,|TAX-35717|
|RXN-6684|,Bx5,|PWY-6949|,Y11403,P93703,,,|TAX-4577|
|RXN-13160|,griF,|PWY-7153|,,B1VTI5,,,|TAX-1911|
|RXN-18946|,CYP71Z7,|PWY-7484|,NM_001053723.1,Q6YV88,,,|TAX-4530|
|GALACTURAN-14-ALPHA-GALACTURONIDASE-RXN|,pelB,|PWY-7248|,,Q9WYR8,,,|TAX-2336|
|GALACTURAN-14-ALPHA-GALACTURONIDASE-RXN|,pgxB,|PWY-1081|,DQ374424,Q27UB1,,,|TAX-5061|
|GALACTURAN-14-ALPHA-GALACTURONIDASE-RXN|,pgxC,,DQ369752,Q27UB0,,,|TAX-5061|
|RXN-15866|,bpsA,|PWY-8114|,,Q5JIZ3,,,|TAX-311400|
|CHOLINE-OXIDASEII-RXN|,codA,|PWY-3721|,AY304485,Q7X2H8,,,|TAX-1665|
