MNX_ID	Balance	EC	Source	kegg
MNXR107952	true	2.3.1.104;2.3.1.25	rxn06313	R03109
MNXR107953	true	2.7.8.22	rxn06314	R03110
MNXR107960	true	2.6.1.57	rxn02236	R03120
MNXR107961	true	2.6.1.60	rxn02237	R03121
MNXR107962	NA	3.2.1.54	rxn06316	R03122
MNXR107964	true	1.14.13.21;1.14.13.88	rxn02239	R03124
MNXR107967	true		rxn02243	R03128
MNXR107975	true	1.13.12.5	rxn06321	R03137
MNXR107976	true	2.7.7.37	rxn06323	R03143
MNXR107981	NA	1.2.2.1	rxn11978	R03146
MNXR107982	NA	1.10.2.1	rxn06324	R03147
MNXR107983	NA	2.7.1.62	rxn14306	
MNXR108027	true	3.1.6.11	rxn02301	R03216
MNXR108028	true	1.14.11.7	rxn06345	R03218
MNXR108029	true	1.14.11.12;1.14.11.2	rxn06346	R03219
MNXR108030	true	4.2.1.17	rxn06347	R03224
MNXR108032	NA	1.1.1.147	rxn02307	R03226
MNXR108033	NA	1.1.1.147	rxn02308	R03227
MNXR108034	NA	5.1.99.2	rxn02309	R03228
MNXR108035	true	2.1.1.94	rxn02310	R03229
MNXR108037	true	2.7.1.202;2.7.1.69	rxn06348	R03232
MNXR108038	true	1.1.1.-	rxn02313	R03234
MNXR108039	true	2.7.1.11	rxn02315	R03237
MNXR108040	true	2.7.1.11	rxn02316	R03238
MNXR108041	true	2.7.1.11	rxn02317	R03239
MNXR108042	true	5.3.1.26	rxn02318	R03240
MNXR108043	true	1.13.11.35	rxn02323	R03246
MNXR108046	true		rxn02326	R03249
MNXR108047	true		rxn02327	R03250
MNXR108057	NA	1.14.15.4;1.14.15.5	rxn11980	R03263
MNXR108061	ambiguous	2.4.1.91	rxn02340	R03267
MNXR108062	ambiguous	2.4.2.35	rxn06353	R03268
MNXR108078	true	1.1.1.104	rxn02355	R03290
MNXR108079	true	1.1.1.104	rxn02357	R03292
MNXR108080	true	1.5.-.-;1.5.1.12;1.5.99.8	rxn02359	R03295
MNXR108084	true	2.1.1.6	rxn02367	R03304
MNXR108087	true		rxn11981	R03311
MNXR108153	true	2.1.1.16	rxn06372	R03410
MNXR108154	true	2.1.1.79	rxn06373	R03411
MNXR108155	ambiguous	3.3.2.2;3.3.2.5	rxn06374	R03415
MNXR108157	true	3.1.1.5	rxn02450	R03417
MNXR108161	true	3.1.3.57	rxn02455	R03427
MNXR108167	true	3.1.3.62	rxn02461	R03434
